duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,result
0,tcp,smtp,SF,1501,366,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0.00,0.00,0.00,0.00,1.00,0.00,1.00,72,154,0.62,0.08,0.01,0.01,0.00,0.01,0.00,0.00,normal.
0,tcp,smtp,SF,1191,327,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,73,155,0.63,0.08,0.01,0.01,0.00,0.01,0.00,0.00,normal.
0,tcp,smtp,SF,1305,335,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0.00,0.00,0.00,0.00,1.00,0.00,1.00,74,156,0.64,0.08,0.01,0.01,0.00,0.01,0.00,0.00,normal.
1,tcp,smtp,SF,1231,329,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,1.00,0.00,1.00,75,157,0.64,0.08,0.01,0.01,0.00,0.01,0.00,0.00,normal.
0,tcp,ftp_data,SF,567,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,76,63,0.26,0.08,0.26,0.03,0.00,0.00,0.00,0.00,normal.
0,tcp,ftp_data,SF,319,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,1.00,0.00,0.00,77,64,0.27,0.08,0.27,0.03,0.00,0.00,0.00,0.00,normal.
0,tcp,ftp_data,SF,7321,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,1.00,0.00,0.00,78,65,0.28,0.08,0.28,0.03,0.00,0.00,0.00,0.00,normal.
0,tcp,ftp_data,SF,7279,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,79,66,0.29,0.08,0.29,0.03,0.00,0.00,0.00,0.00,normal.
1,tcp,smtp,SF,1075,325,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,1.00,0.00,1.00,80,158,0.61,0.08,0.01,0.01,0.00,0.01,0.00,0.00,normal.
0,tcp,smtp,SF,1040,329,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,81,159,0.62,0.07,0.01,0.01,0.00,0.01,0.00,0.00,normal.
0,tcp,auth,SF,9,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,82,6,0.02,0.07,0.01,0.33,0.00,0.00,0.00,0.00,normal.
0,udp,domain_u,SF,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.50,1.00,0.00,83,5,0.06,0.07,0.06,0.00,0.00,0.00,0.00,0.00,normal.
1,tcp,smtp,SF,1100,327,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0.00,0.00,0.00,0.00,1.00,0.00,1.00,84,160,0.61,0.07,0.01,0.01,0.00,0.01,0.00,0.00,normal.
0,tcp,smtp,SF,690,326,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,1.00,0.00,0.00,85,161,0.61,0.07,0.01,0.01,0.00,0.01,0.00,0.00,normal.
